Outcome,Weekend,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Cases,10-02-21,65_79,130.1,46,0,2.8,0,0,0,0,0,0,62283,193295,0,81,89,0,65,79
Cases,16-04-22,30_49,154.9,73.1,259.4,2.1,0.6,0,0,0,0,0,131729,288694,328103,204,211,851,30,49
Deaths,09-04-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,02-11-23,65_79,124.4,106,96.7,1.2,1.3,0,0,0,0,0,40183,43393,171693,50,46,166,65,79
Cases,02-04-23,30_49,122.9,54,79.2,2.3,1.6,0,0,0,0,0,111518,277594,347241,137,150,275,30,49
Deaths,09-04-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Cases,24-12-22,0_4,99,9.8,0,10.1,0,0,0,0,0,0,162642,0,0,161,16,0,0,4
Cases,25-09-21,All,150.5,58.8,0,2.6,0,167.7,48.1,0,3.5,0,1021435,1498444,0,1537,881,0,999,999
Deaths,20-11-21,65_79,5.3,0,0,0,0,0,0,0,0,0,56364,133667,69658,3,0,0,65,79
Deaths,09-11-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,09-11-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Deaths,18-09-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,18-09-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Deaths,25-09-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,25-09-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Deaths,10-02-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,10-02-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Hospitalizations,09-09-23,5_11,0,0,0,0,0,0,0,0,0,0,89422,82670,21265,0,0,0,5,11
Deaths,10-09-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,13-11-21,80+,95.5,128.5,13.7,0.7,7,0,0,0,0,0,29306,40458,14603,28,52,2,80,200
Deaths,16-10-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,16-10-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Deaths,24-12-22,30_49,0,0,0,0,0,0,0,0,0,0,113497,277193,347177,0,0,0,30,49
Deaths,23-10-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,23-10-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Deaths,30-10-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,30-10-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Deaths,17-12-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,26-02-22,5_11,0,0,0,0,0,0,0,0,0,0,106580,79595,0,0,0,0,5,11
Deaths,11-06-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,10-08-22,All,7.5,3.8,7.1,2,1.1,10.5,6.1,4.9,1.7,2.2,588205,843467,1037728,44,32,74,999,999
Cases,06-10-23,30_49,24,6.8,10.9,3.5,2.2,0,0,0,0,0,108308,278398,347307,26,19,38,30,49
Deaths,23-04-22,1_12,0,0,0,0,0,0,0,0,0,0,37746,94929,32716,0,0,0,12,17
Cases,26-03-22,18_29,92.7,33.1,113.8,2.8,0.8,0,0,0,0,0,99220,220462,145029,92,73,165,18,29
Hospitalizations,06-11-22,80+,30.1,104.3,54.9,0.3,0.5,0,0,0,0,0,26548,12467,45506,8,13,25,80,200
Cases,11-04-23,All,53.1,21.3,33,2.5,1.6,60.5,23.2,26.2,2.6,2.3,512405,862552,1044756,272,184,345,999,999
Cases,25-06-22,5_11,67.3,93.3,76.5,0.7,0.9,0,0,0,0,0,99599,91151,5230,67,85,4,5,11
Deaths,13-11-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,30-09-23,0_4,27.7,1.8,0,15.4,0,0,0,0,0,0,162642,0,0,45,3,0,0,4
Deaths,05-07-22,5_11,0,0,0,0,0,0,0,0,0,0,101762,93683,0,0,0,0,5,11
Hospitalizations,17-09-22,0_4,6.1,0,0,0,0,0,0,0,0,0,162642,0,0,10,0,0,0,4
Cases,07-03-21,18_29,20.5,6.9,0,3,0,0,0,0,0,0,224760,262359,0,46,18,0,18,29
Deaths,20-11-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,21-10-23,18_29,63.7,11.2,27.2,5.7,2.3,0,0,0,0,0,70650,214710,162045,45,24,44,18,29
Hospitalizations,17-12-22,1_12,3,0,2.2,0,1.4,0,0,0,0,0,33793,86155,44526,1,0,1,12,17
Deaths,17-12-22,80+,8,17.6,4.2,0.5,1.9,0,0,0,0,0,24877,11373,47108,2,2,2,80,200
Cases,07-02-22,65_79,210.8,177.6,191.1,1.2,1.1,0,0,0,0,0,46481,46183,167465,98,82,320,65,79
Deaths,27-11-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,04-08-23,All,4.3,2.3,4.7,1.9,0.9,6.2,3.1,3.2,2,1.9,540406,859347,1040563,23,20,49,999,999
Hospitalizations,18-02-23,50_64,20.6,4,4.9,5.2,4.2,0,0,0,0,0,33956,125555,246862,7,5,12,50,64
Deaths,23-09-23,80+,8.2,0,4.2,0,2,0,0,0,0,0,24430,11380,47134,2,0,2,80,200
Cases,16-09-23,5_11,6.7,15.7,23.5,0.4,0.3,0,0,0,0,0,89406,82669,21266,6,13,5,5,11
Deaths,12-04-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,06-05-21,18_29,45.1,6.2,0,7.3,0,0,0,0,0,0,241512,225206,0,109,14,0,18,29
Deaths,05-06-23,5_11,0,0,0,0,0,0,0,0,0,0,90817,82677,21239,0,0,0,5,11
Deaths,12-11-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,04-08-23,5_11,0,2.4,0,0,0,0,0,0,0,0,91121,82526,21223,0,2,0,5,11
Hospitalizations,12-03-22,18_29,17.3,3.8,3.1,4.6,5.6,0,0,0,0,0,81009,212601,161582,14,8,5,18,29
Cases,19-11-22,80+,111.6,158.3,225.1,0.7,0.5,0,0,0,0,0,25083,11368,47093,28,18,106,80,200
Cases,29-07-23,1_12,15.6,5.8,4.5,2.7,3.5,0,0,0,0,0,32091,86577,44592,5,5,2,12,17
Hospitalizations,26-06-21,18_29,2.6,0,0,0,0,0,0,0,0,0,228136,254744,0,6,0,0,18,29
Hospitalizations,19-02-22,30_49,4.4,3,1.3,1.5,3.4,0,0,0,0,0,137833,299049,303628,6,9,4,30,49
Deaths,18-12-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,02-12-22,65_79,127.4,90.2,69.4,1.4,1.8,0,0,0,0,0,49452,57654,151402,63,52,105,65,79
Cases,11-11-23,50_64,171.6,43.7,48.8,3.9,3.5,0,0,0,0,0,30308,125745,247813,52,55,121,50,64
Deaths,02-11-23,80+,8.1,17.6,0,0.5,0,0,0,0,0,0,24710,11376,47122,2,2,0,80,200
Hospitalizations,29-10-22,65_79,28.2,25.4,20.4,1.1,1.4,0,0,0,0,0,42620,43357,171513,12,11,35,65,79
Hospitalizations,25-02-23,30_49,2.7,1.8,3.7,1.5,0.7,0,0,0,0,0,110797,277836,347256,3,5,13,30,49
Deaths,23-07-22,30_49,0,0,0,0,0,0,0,0,0,0,126870,279406,341686,0,0,0,30,49
Deaths,25-12-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,11-11-23,50_64,26.4,3.2,4,8.2,6.6,0,0,0,0,0,30308,125745,247813,8,4,10,50,64
Hospitalizations,08-06-22,30_49,17.4,4,4.4,4.4,4,0,0,0,0,0,126294,278159,343405,22,11,15,30,49
Hospitalizations,11-11-23,30_49,5,2.1,1.4,2.4,3.6,0,0,0,0,0,100910,279296,348677,5,6,5,30,49
Deaths,01-01-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,01-08-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,23-09-23,All,58.8,23.8,47,2.5,1.3,69.9,26.3,35.8,2.7,2,525521,860278,1040840,309,205,489,999,999
Deaths,15-01-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,22-01-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,22-07-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,29-01-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,22-05-21,80+,54,21.2,0,2.5,0,0,0,0,0,0,35155,47103,0,19,10,0,80,200
Deaths,02-05-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,01-01-22,0_4,35,0,0,0,0,0,0,0,0,0,162642,0,0,57,0,0,0,4
Hospitalizations,16-09-23,0_4,3.1,0,0,0,0,0,0,0,0,0,162642,0,0,5,0,0,0,4
Deaths,02-12-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,31-07-21,30_49,14.3,1,0,14.3,0,0,0,0,0,0,266646,496916,0,38,5,0,30,49
Deaths,18-12-21,1_12,0,0,0,0,0,0,0,0,0,0,56227,107530,554,0,0,0,12,17
Deaths,19-02-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,26-02-22,30_49,1.5,0,0,0,0,0,0,0,0,0,136458,296367,310294,2,0,0,30,49
Hospitalizations,30-10-21,18_29,4.8,0.6,0,8,0,0,0,0,0,0,165307,313568,7958,8,2,0,18,29
Cases,18-06-22,50_64,425.7,129.4,213.5,3.3,2,0,0,0,0,0,42287,130631,238855,180,169,510,50,64
Hospitalizations,16-04-22,50_64,9,2.2,4.8,4.1,1.9,0,0,0,0,0,44596,136888,229793,4,3,11,50,64
Deaths,04-10-21,80+,24.7,0,0,0,0,0,0,0,0,0,40425,30292,0,10,0,0,80,200
Hospitalizations,16-10-21,50_64,46.2,4.9,0,9.4,0,0,0,0,0,0,75689,329389,0,35,16,0,50,64
Deaths,26-02-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,05-07-22,18_29,354.1,150.3,397.3,2.4,0.9,0,0,0,0,0,96593,217622,150759,342,327,599,18,29
Cases,13-08-22,30_49,289.7,131.5,202.5,2.2,1.4,0,0,0,0,0,125984,277655,344132,365,365,697,30,49
Hospitalizations,31-07-21,65_79,13,4.2,0,3.1,0,0,0,0,0,0,69459,192009,0,9,8,0,65,79
Hospitalizations,29-10-22,All,9.7,5.7,7.9,1.7,1.2,11.6,8.1,6,1.4,1.9,576831,846073,1039237,56,48,82,999,999
Cases,27-11-21,30_49,328.8,118.6,55.8,2.8,5.9,0,0,0,0,0,189760,487368,82444,624,578,46,30,49
Deaths,08-07-21,65_79,4.4,0.5,0,8.8,0,0,0,0,0,0,68485,192863,0,3,1,0,65,79
Deaths,10-01-22,65_79,2.3,0,2.3,0,1,0,0,0,0,0,44363,43409,171376,1,0,4,65,79
Deaths,03-05-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,29-07-23,65_79,28,18.4,31.4,1.5,0.9,0,0,0,0,0,39287,43420,171749,11,8,54,65,79
Deaths,10-01-22,80+,0,8.8,8.5,0,0,0,0,0,0,0,25857,11380,47042,0,1,4,80,200
Cases,04-02-22,All,79,55.5,102.3,1.4,0.8,86.5,51.8,90.8,1.7,1,657870,901409,932489,520,500,954,999,999
Hospitalizations,05-06-23,5_11,0,0,0,0,0,0,0,0,0,0,90817,82677,21239,0,0,0,5,11
Hospitalizations,01-01-22,50_64,314.4,70.5,16.3,4.5,19.3,0,0,0,0,0,56937,206986,147279,179,146,24,50,64
Hospitalizations,17-07-21,1_12,2,0,0,0,0,0,0,0,0,0,102168,57846,0,2,0,0,12,17
Hospitalizations,28-08-21,65_79,65.3,9.2,0,7.1,0,0,0,0,0,0,65885,194871,0,43,18,0,65,79
Deaths,03-12-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,20-05-23,80+,20.4,0,10.6,0,1.9,0,0,0,0,0,24557,11384,47128,5,0,5,80,200
Deaths,19-03-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,09-02-23,30_49,66.4,29.1,42,2.3,1.6,0,0,0,0,0,106946,278397,347321,71,81,146,30,49
Deaths,12-04-21,50_64,10.9,0,0,0,0,0,0,0,0,0,64234,270486,79047,7,0,0,50,64
Cases,26-02-22,50_64,134.9,24.7,35.9,5.5,3.8,0,0,0,0,0,46700,145752,217214,63,36,78,50,64
Hospitalizations,02-05-22,5_11,0,0,0,0,0,0,0,0,0,0,112371,63443,0,0,0,0,5,11
Deaths,26-03-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,16-07-22,All,251.7,157.2,263.5,1.6,1,308.3,152.2,238.5,2,1.3,623694,859285,1001233,1570,1351,2638,999,999
Cases,19-03-22,1_12,69.9,25,30.4,2.8,2.3,0,0,0,0,0,38626,96018,29614,27,24,9,12,17
Cases,06-04-22,1_12,414.2,212.6,347.9,1.9,1.2,0,0,0,0,0,36941,93128,35358,153,198,123,12,17
Deaths,27-05-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,03-11-23,50_64,0,1.6,0,0,0,0,0,0,0,0,33710,125621,246881,0,2,0,50,64
Cases,19-11-22,All,151.2,82.9,116.2,1.8,1.3,175,84.3,105.1,2.1,1.7,567313,849096,1039651,858,704,1208,999,999
Deaths,04-02-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,29-10-22,All,0,0.7,0.4,0,0,0,1.6,0.2,0,0,576831,846073,1039237,0,6,4,999,999
Hospitalizations,25-02-23,80+,56.7,114.3,59.4,0.5,1,0,0,0,0,0,24695,11378,47124,14,13,28,80,200
Deaths,12-03-22,65_79,4.8,0,0.6,0,8,0,0,0,0,0,41351,43349,171626,2,0,1,65,79
Deaths,22-07-23,1_12,0,0,0,0,0,0,0,0,0,0,32134,86577,44590,0,0,0,12,17
Hospitalizations,08-07-21,All,11.3,2.2,0,5.1,0,15.4,1.7,0,9.1,0,1127960,1412725,0,127,31,0,999,999
Deaths,04-09-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,15-04-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,10-02-21,1_12,261.5,19.2,0,13.6,0,0,0,0,0,0,68439,93584,0,179,18,0,12,17
Deaths,16-07-22,1_12,0,0,0,0,0,0,0,0,0,0,36204,90674,38517,0,0,0,12,17
Hospitalizations,11-05-22,1_12,0,0,0,0,0,0,0,0,0,0,34344,85986,44495,0,0,0,12,17
Cases,05-08-21,30_49,236.6,14.3,0,16.5,0,0,0,0,0,0,350842,287155,0,830,41,0,30,49
Deaths,16-04-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,01-01-22,18_29,3158.2,1882.2,1388.9,1.7,2.3,0,0,0,0,0,135521,266118,72360,4280,5009,1005,18,29
Cases,22-07-23,5_11,6.7,4.8,0,1.4,0,0,0,0,0,0,90050,82668,21259,6,4,0,5,11
Deaths,11-06-21,50_64,5.6,0,0,0,0,0,0,0,0,0,70859,318525,25135,4,0,0,50,64
Cases,03-05-22,65_79,20.4,18.5,28.8,1.1,0.7,0,0,0,0,0,48917,54022,156028,10,10,45,65,79
Cases,27-08-22,18_29,256.7,98.6,148.4,2.6,1.7,0,0,0,0,0,91147,211921,160373,234,209,238,18,29
Deaths,23-04-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,30-04-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,05-07-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,07-03-21,80+,3,0,0,0,0,0,0,0,0,0,33360,51317,0,1,0,0,80,200
Deaths,14-05-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,08-12-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,16-09-23,1_12,22.1,11.6,22.4,1.9,1,0,0,0,0,0,31696,86574,44597,7,10,10,12,17
Deaths,21-05-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,30-10-21,80+,43.6,49.9,11.5,0.9,3.8,0,0,0,0,0,29835,46071,8679,13,23,1,80,200
Deaths,28-05-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Deaths,14-08-21,50_64,9.6,0,0,0,0,0,0,0,0,0,94229,318064,0,9,0,0,50,64
Deaths,13-08-22,65_79,0,4.5,0,0,0,0,0,0,0,0,45801,44391,169993,0,2,0,65,79
Deaths,06-04-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,25-09-21,0_4,1.8,0,0,0,0,0,0,0,0,0,162642,0,0,3,0,0,0,4
Deaths,06-11-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Cases,04-10-21,80+,101.4,29.7,0,3.4,0,0,0,0,0,0,40425,30292,0,41,9,0,80,200
Cases,12-11-21,80+,147.7,172.6,57.1,0.9,2.6,0,0,0,0,0,28442,27803,28010,42,48,16,80,200
Hospitalizations,02-05-22,80+,54.8,156.1,29.5,0.4,1.9,0,0,0,0,0,27390,16013,40692,15,25,12,80,200
Deaths,18-06-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,24-04-21,80+,68.4,7.7,0,8.9,0,0,0,0,0,0,38015,38918,0,26,3,0,80,200
Deaths,25-06-22,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,25-12-21,All,72.5,28.4,11.8,2.6,6.1,101.7,30.3,6.8,3.4,15,814632,1161444,517372,591,330,61,999,999
Hospitalizations,04-03-21,0_4,1.8,0,0,0,0,0,0,0,0,0,162642,0,0,3,0,0,0,4
Hospitalizations,04-03-21,5_11,0.5,0,0,0,0,0,0,0,0,0,210448,0,0,1,0,0,5,11
Hospitalizations,04-10-21,0_4,1.8,0,0,0,0,0,0,0,0,0,162642,0,0,3,0,0,0,4
Deaths,15-07-23,65_79,0,0,0,0,0,0,0,0,0,0,39336,43424,171745,0,0,0,65,79
Hospitalizations,04-10-21,5_11,1.4,0,0,0,0,0,0,0,0,0,210448,0,0,3,0,0,5,11
Hospitalizations,17-04-21,0_4,1.2,0,0,0,0,0,0,0,0,0,162642,0,0,2,0,0,0,4
Hospitalizations,17-04-21,5_11,1,0,0,0,0,0,0,0,0,0,210448,0,0,2,0,0,5,11
Hospitalizations,24-04-21,0_4,2.5,0,0,0,0,0,0,0,0,0,162642,0,0,4,0,0,0,4
Cases,23-10-21,80+,73.1,29.2,15,2.5,4.9,0,0,0,0,0,30106,47937,6673,22,14,1,80,200
Hospitalizations,24-04-21,5_11,1.4,0,0,0,0,0,0,0,0,0,210448,0,0,3,0,0,5,11
Deaths,13-05-23,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,05-01-21,0_4,3.1,0,0,0,0,0,0,0,0,0,162642,0,0,5,0,0,0,4
Hospitalizations,05-01-21,5_11,1,0,0,0,0,0,0,0,0,0,210448,0,0,2,0,0,5,11
Hospitalizations,05-08-21,0_4,3.1,0,0,0,0,0,0,0,0,0,162642,0,0,5,0,0,0,4
Deaths,03-12-22,50_64,0,1.4,0.4,0,0,0,0,0,0,0,46039,142268,222350,0,2,1,50,64
Hospitalizations,05-08-21,5_11,0.5,0,0,0,0,0,0,0,0,0,210448,0,0,1,0,0,5,11
Hospitalizations,15-05-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,03-04-23,0_4,3.7,0,0,0,0,0,0,0,0,0,162642,0,0,6,0,0,0,4
Hospitalizations,15-05-21,5_11,1.4,0,0,0,0,0,0,0,0,0,210448,0,0,3,0,0,5,11
Hospitalizations,07-01-23,5_11,0,1.2,0,0,0,0,0,0,0,0,90262,82673,21253,0,1,0,5,11
Hospitalizations,07-09-22,30_49,10.2,5.3,2.9,1.9,3.5,0,0,0,0,0,127602,280376,340282,13,15,10,30,49
Deaths,22-05-21,30_49,1.2,0,0,0,0,0,0,0,0,0,324620,366867,0,4,0,0,30,49
Hospitalizations,23-07-22,50_64,33.9,12.5,12.8,2.7,2.6,0,0,0,0,0,41269,128418,242018,14,16,31,50,64
Hospitalizations,22-05-21,0_4,1.2,0,0,0,0,0,0,0,0,0,162642,0,0,2,0,0,0,4
Hospitalizations,17-09-22,18_29,6.7,0,0.6,0,11.2,0,0,0,0,0,89805,211472,161406,6,0,1,18,29
Hospitalizations,19-03-22,18_29,7,1.4,0.7,5,10,0,0,0,0,0,99842,220707,143769,7,3,1,18,29
Hospitalizations,22-05-21,5_11,1.9,0,0,0,0,0,0,0,0,0,210448,0,0,4,0,0,5,11
Deaths,29-04-23,50_64,3,0,0,0,0,0,0,0,0,0,33180,125733,246904,1,0,0,50,64
Hospitalizations,29-05-21,0_4,0.6,0,0,0,0,0,0,0,0,0,162642,0,0,1,0,0,0,4
Cases,01-08-22,80+,1269.1,1641.7,688.4,0.8,1.8,0,0,0,0,0,27814,19309,37045,353,317,255,80,200
Hospitalizations,29-05-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Cases,14-08-21,65_79,119.7,56.3,0,2.1,0,0,0,0,0,0,67653,193586,0,81,109,0,65,79
Hospitalizations,06-05-21,0_4,2.5,0,0,0,0,0,0,0,0,0,162642,0,0,4,0,0,0,4
Cases,24-07-21,30_49,98.8,38.8,0,2.5,0,0,0,0,0,0,272185,492321,0,269,191,0,30,49
Hospitalizations,06-05-21,5_11,1.9,0,0,0,0,0,0,0,0,0,210448,0,0,4,0,0,5,11
Hospitalizations,27-05-23,65_79,5.1,11.5,8.2,0.4,0.6,0,0,0,0,0,39507,43436,171730,2,5,14,65,79
Cases,22-07-23,All,24.7,9.3,16.6,2.7,1.5,29.9,9.6,12.5,3.1,2.4,530682,860314,1040764,131,80,173,999,999
Deaths,18-12-21,80+,38.9,24.1,3.2,1.6,12.2,0,0,0,0,0,28242,24945,31019,11,6,1,80,200
Hospitalizations,04-09-22,30_49,4.5,1,2.4,4.5,1.9,0,0,0,0,0,132219,289629,326607,6,3,8,30,49
Hospitalizations,06-12-21,0_4,1.2,0,0,0,0,0,0,0,0,0,162642,0,0,2,0,0,0,4
Deaths,22-10-22,1_12,0,0,0,0,0,0,0,0,0,0,34553,85923,44472,0,0,0,12,17
Cases,22-05-21,1_12,100.3,0,0,0,0,0,0,0,0,0,136624,0,0,137,0,0,12,17
Hospitalizations,06-12-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Cases,18-11-23,All,72.6,28.7,55.4,2.5,1.3,88.7,32,42.7,2.8,2.1,507068,862707,1047121,368,248,580,999,999
Cases,31-12-22,30_49,173.3,82.2,114.9,2.1,1.5,0,0,0,0,0,113126,277262,347197,196,228,399,30,49
Cases,11-12-22,All,152.9,85.7,111.2,1.8,1.4,173.2,87,100.9,2,1.7,570386,848167,1039564,872,727,1156,999,999
Hospitalizations,19-06-21,0_4,0.6,0,0,0,0,0,0,0,0,0,162642,0,0,1,0,0,0,4
Deaths,22-04-23,1_12,0,0,0,0,0,0,0,0,0,0,32777,86544,44574,0,0,0,12,17
Hospitalizations,19-06-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Hospitalizations,04-09-22,5_11,0,0,0,0,0,0,0,0,0,0,103071,91818,0,0,0,0,5,11
Deaths,07-08-23,30_49,0,0,0,0,0,0,0,0,0,0,107855,278403,347309,0,0,0,30,49
Cases,28-01-23,1_12,185.6,98.5,87.5,1.9,2.1,0,0,0,0,0,33411,86292,44551,62,85,39,12,17
Hospitalizations,26-06-21,0_4,0.6,0,0,0,0,0,0,0,0,0,162642,0,0,1,0,0,0,4
Hospitalizations,04-01-23,1_12,3,1.2,2.2,2.5,1.4,0,0,0,0,0,32922,86490,44568,1,1,1,12,17
Cases,29-04-23,30_49,65.9,20.5,29.9,3.2,2.2,0,0,0,0,0,109218,278370,347292,72,57,104,30,49
Hospitalizations,26-06-21,5_11,0.5,0,0,0,0,0,0,0,0,0,210448,0,0,1,0,0,5,11
Cases,17-12-22,All,232.8,139.1,187.3,1.7,1.2,265.9,145.5,176.3,1.8,1.5,558425,852606,1039974,1300,1186,1948,999,999
Cases,26-11-22,5_11,49.4,38.3,42.7,1.3,1.2,0,0,0,0,0,93076,81025,21098,46,31,9,5,11
Hospitalizations,07-03-21,0_4,0,0,0,0,0,0,0,0,0,0,162642,0,0,0,0,0,0,4
Hospitalizations,07-03-21,5_11,0.5,0,0,0,0,0,0,0,0,0,210448,0,0,1,0,0,5,11
Cases,11-11-23,5_11,21.5,19.5,31.8,1.1,0.7,0,0,0,0,0,88571,82151,21989,19,16,7,5,11
Hospitalizations,11-12-22,1_12,0,1.2,2.2,0,0,0,0,0,0,0,34246,86007,44506,0,1,1,12,17
Cases,18-11-23,65_79,85.6,81.5,96.2,1.1,0.9,0,0,0,0,0,37394,44197,172519,32,36,166,65,79
Hospitalizations,07-10-21,0_4,2.5,0,0,0,0,0,0,0,0,0,162642,0,0,4,0,0,0,4
Cases,21-05-22,All,304.7,223.1,353.4,1.4,0.9,341.8,209,383.3,1.6,0.9,644984,883996,965236,1965,1972,3411,999,999
Hospitalizations,11-05-22,All,15.3,5.2,7.7,2.9,2,20.8,7.8,5.3,2.7,3.9,573510,847144,1039435,88,44,80,999,999
Deaths,20-05-23,All,0.4,0,0.1,0,4,0.3,0,0.1,0,3.9,535909,860356,1040655,2,0,1,999,999
Hospitalizations,07-10-21,5_11,0,0,0,0,0,0,0,0,0,0,210448,0,0,0,0,0,5,11
Hospitalizations,19-03-22,All,5.1,2.4,2,2.1,2.6,6.8,2.9,1.3,2.3,5.2,662148,905646,919703,34,22,18,999,999
Hospitalizations,22-04-23,5_11,0,0,4.7,0,0,0,0,0,0,0,90975,82623,21231,0,0,1,5,11
Deaths,08-06-22,5_11,0,0,0,0,0,0,0,0,0,0,97222,86190,11845,0,0,0,5,11
